iter	Passed	Remaining
0	6	1385
1	13	1351
2	18	1206
3	25	1252
4	31	1233
5	38	1259
6	45	1261
7	51	1238
8	57	1227
9	63	1199
10	69	1187
11	74	1164
12	80	1153
13	85	1139
14	90	1120
15	97	1116
16	103	1112
17	108	1097
18	114	1089
19	120	1081
20	125	1066
21	130	1054
22	136	1054
23	143	1053
24	149	1045
25	156	1047
26	162	1041
27	169	1038
28	175	1035
29	181	1028
30	187	1023
31	193	1017
32	199	1008
33	206	1006
34	211	997
35	218	994
36	225	992
37	230	981
38	237	981
39	243	974
40	249	966
41	256	963
42	261	955
43	267	947
44	273	940
45	277	930
46	284	924
47	289	917
48	294	908
49	301	903
50	306	894
51	311	885
52	316	878
53	321	870
54	326	861
55	331	853
56	336	845
57	341	837
58	347	830
59	352	822
60	357	814
61	363	808
62	367	800
63	372	791
64	377	783
65	382	776
66	387	768
67	391	760
68	397	753
69	402	746
70	407	739
71	411	732
72	416	724
73	421	717
74	426	710
75	431	703
76	436	696
77	440	689
78	445	682
79	450	676
80	455	669
81	460	663
82	466	657
83	472	652
84	478	647
85	483	640
86	488	634
87	493	627
88	498	621
89	502	614
90	507	608
91	512	601
92	517	595
93	522	588
94	527	582
95	532	576
96	537	570
97	542	564
98	547	558
99	552	552
100	556	545
101	561	539
102	566	533
103	571	527
104	576	521
105	581	515
106	586	509
107	591	504
108	596	498
109	601	492
110	606	486
111	611	480
112	616	474
113	621	468
114	626	463
115	631	457
116	636	451
117	641	445
118	646	439
119	650	433
120	656	428
121	661	422
122	665	416
123	671	411
124	676	405
125	681	399
126	685	394
127	691	388
128	696	383
129	701	377
130	705	371
131	710	366
132	715	360
133	720	354
134	725	349
135	730	343
136	735	338
137	740	332
138	745	327
139	749	321
140	755	316
141	760	310
142	765	305
143	769	299
144	774	293
145	779	288
146	784	282
147	789	277
148	794	271
149	799	266
150	805	261
151	810	255
152	815	250
153	820	245
154	825	239
155	830	234
156	835	228
157	840	223
158	844	217
159	849	212
160	854	207
161	859	201
162	864	196
163	869	190
164	874	185
165	879	180
166	884	174
167	889	169
168	894	164
169	899	158
170	904	153
171	909	148
172	914	142
173	919	137
174	924	132
175	929	126
176	934	121
177	939	116
178	943	110
179	948	105
180	953	100
181	958	94
182	963	89
183	968	84
184	973	78
185	978	73
186	984	68
187	988	63
188	993	57
189	998	52
190	1004	47
191	1009	42
192	1014	36
193	1020	31
194	1025	26
195	1030	21
196	1036	15
197	1041	10
198	1047	5
199	1053	0
