iter	Passed	Remaining
0	156	31103
1	161	16018
2	167	10967
3	172	8435
4	177	6910
5	182	5915
6	187	5176
7	193	4640
8	198	4209
9	203	3861
10	208	3581
11	215	3378
12	221	3188
13	226	3014
14	232	2862
15	236	2724
16	242	2608
17	250	2529
18	255	2436
19	262	2358
20	268	2288
21	274	2222
22	280	2155
23	286	2100
24	291	2041
25	296	1984
26	302	1937
27	308	1896
28	314	1857
29	321	1822
30	327	1784
31	332	1746
32	338	1710
33	344	1680
34	350	1650
35	355	1620
36	361	1591
37	366	1562
38	371	1535
39	377	1511
40	383	1487
41	389	1464
42	395	1443
43	400	1418
44	407	1402
45	413	1385
46	419	1365
47	425	1346
48	431	1328
49	437	1311
50	442	1292
51	447	1272
52	452	1254
53	458	1238
54	463	1221
55	469	1207
56	474	1191
57	479	1175
58	484	1158
59	489	1143
60	494	1127
61	500	1114
62	505	1099
63	511	1087
64	516	1073
65	521	1059
66	527	1046
67	532	1033
68	539	1023
69	544	1010
70	549	997
71	553	984
72	559	973
73	566	963
74	571	952
75	577	941
76	582	930
77	587	919
78	592	907
79	599	899
80	607	892
81	613	882
82	618	872
83	624	861
84	629	852
85	634	841
86	640	832
87	645	822
88	651	812
89	656	802
90	661	792
91	667	784
92	673	774
93	678	765
94	683	755
95	688	746
96	693	736
97	700	729
98	706	721
99	712	712
100	718	703
101	723	695
102	728	686
103	734	677
104	739	669
105	745	660
106	749	651
107	755	643
108	759	634
109	765	625
110	770	617
111	775	609
112	780	600
113	785	592
114	790	584
115	796	576
116	802	569
117	807	561
118	812	553
119	818	545
120	823	537
121	829	530
122	834	522
123	839	514
124	844	506
125	849	498
126	854	490
127	860	483
128	865	476
129	870	468
130	875	461
131	881	454
132	887	447
133	894	440
134	900	433
135	906	426
136	912	419
137	918	412
138	923	405
139	929	398
140	935	391
141	940	384
142	946	377
143	951	370
144	962	364
145	970	358
146	979	353
147	991	348
148	999	342
149	1007	335
150	1014	329
151	1020	322
152	1027	315
153	1035	309
154	1042	302
155	1048	295
156	1054	288
157	1060	281
158	1066	275
159	1073	268
160	1078	261
161	1085	254
162	1092	247
163	1098	241
164	1104	234
165	1109	227
166	1116	220
167	1123	214
168	1129	207
169	1134	200
170	1140	193
171	1145	186
172	1152	179
173	1157	172
174	1163	166
175	1168	159
176	1174	152
177	1180	145
178	1187	139
179	1193	132
180	1198	125
181	1202	118
182	1207	112
183	1213	105
184	1219	98
185	1224	92
186	1229	85
187	1234	78
188	1240	72
189	1245	65
190	1251	58
191	1257	52
192	1261	45
193	1267	39
194	1272	32
195	1278	26
196	1284	19
197	1290	13
198	1295	6
199	1300	0
